transaction_id,user_id,amount,transaction_channel,merchant,device_id,card_type,country,timestamp,prev_timestamp,lat,lon,prev_lat,prev_lon,time_since_last_tx,distance_from_last_tx,km_per_min,device_change,velocity_last_10min,is_night,merchant_risk_score,account_age_days,prior_chargebacks,high_risk_country,is_fraud
11,U0143,73.02,airtime,MiniMart,SPOOF1072,credit,UK,2025-01-01 08:48:27,2025-01-01 07:53:35,52.11643187321938,0.2983451249845511,6.809564333979897,3.7026790232288618,3292,5033.001496353882,91.7314975034122,1,2,0,1,959,0,0,1
12,U0108,96.57,card-not-present,QuickBuy,DV0037,credit,NG,2025-01-01 09:18:49,2025-01-01 08:48:27,7.140523264489604,3.5975720210875224,52.11643187321938,0.2983451249845511,1822,4995.8572342175485,164.51780134635175,0,9,0,1,1792,0,1,0
13,U0126,205.77,airtime,GameStore,DV0237,prepaid,KE,2025-01-01 10:11:59,2025-01-01 09:18:49,-1.139170825169591,37.59625369975792,7.140523264489604,3.5975720210875224,3190,3885.4972059661904,73.0814521498343,0,7,0,1,1701,0,0,0
14,U0353,999999.0,in-store,,DV0167,virtual,KE,2025-01-01 11:35:12,2025-01-01 10:11:59,-63.54994873320959,178.80016721090095,-1.139170825169591,37.59625369975792,4993,82.79647001831448,0.9949505710192006,0,12,0,1,1608,0,0,1
15,U0413,82.24,online,DesignerHub,DV0206,debit,NG,2025-01-01 12:32:58,2025-01-01 11:35:12,6.857612892300343,3.7683086033354716,-0.5014458114729207,37.20642905965959,3466,3801.989279972567,65.81631759906348,0,2,0,2,1311,0,1,0
16,U0468,820.84,card-present,GameStore,DV0109,prepaid,NG,2025-01-01 12:33:34,2025-01-01 12:32:58,6.430185268241555,3.6991933798847523,6.857612892300343,3.7683086033354716,36,47.88269977784213,79.80449962973688,0,4,0,2,1920,0,1,0
17,U0235,126.62,in-store,QuickBuy,DV0136,credit,KE,2025-01-01 13:29:21,2025-01-01 12:33:34,-0.43334518095633034,37.56361997708925,6.430185268241555,3.6991933798847523,3347,3838.009271402882,68.80207836395964,0,5,0,1,1900,0,0,0
18,U0288,104.82,airtime,DesignerHub,DV0220,prepaid,NG,2025-01-01 14:42:02,2025-01-01 13:29:21,6.495290588418939,3.5225507642386007,-0.43334518095633034,37.56361997708925,4361,3858.5127906355106,53.086624039929056,0,9,0,2,925,0,1,0
19,U0071,81.64,online,ElectroWorld,DV0047,virtual,UK,2025-01-01 15:01:48,2025-01-01 14:42:02,51.35076853103939,0.3866171489506599,6.495290588418939,3.5225507642386007,1186,4981.311460138405,252.0056387928367,0,5,0,1,1726,0,0,0
20,U0322,100.52,card-present,LuxuryHub,DV0217,virtual,KE,2025-01-01 15:54:12,2025-01-01 15:01:48,-1.3694997500609505,36.637348188749215,51.35076853103939,0.3866171489506599,3144,6768.619514991881,129.17212814870004,0,3,0,2,996,0,0,0
21,U0306,239.41,card-not-present,Supermart,DV0271,debit,UK,2025-01-01 16:55:47,2025-01-01 15:54:12,52.0951861947687,-0.22916774873792578,-1.3694997500609505,36.637348188749215,3695,6858.287689899208,111.36597060729432,1,4,0,1,1155,0,0,0
22,U0349,123.07,airtime,Airtel,DV0275,debit,ZA,2025-01-01 17:51:50,2025-01-01 16:55:47,-24.9104705558573,20.079531840850148,52.0951861947687,-0.22916774873792578,3363,8757.23766970173,156.23974433009332,0,6,0,1,158,0,0,0
23,U0151,246.19,online,QuickBuy,DV0081,prepaid,UK,2025-01-01 18:29:55,2025-01-01 17:51:50,52.00365785938002,-0.025826170912674806,-24.9104705558573,20.079531840850148,2285,8743.121753332349,229.57868936540083,0,0,0,1,361,0,0,0
24,U0449,168.51,card-not-present,Airtel,DV0257,credit,NG,2025-01-01 19:47:06,2025-01-01 18:29:55,6.825859915714236,3.7031362585800878,52.00365785938002,-0.025826170912674806,4631,5020.642109658254,65.04826745400459,0,0,0,2,164,1,1,0
25,U0446,50.78,in-store,MiniMart,DV0260,credit,NG,2025-01-01 21:00:26,2025-01-01 19:47:06,7.141464808776526,3.5861026378007743,6.825859915714236,3.7031362585800878,4400,37.22171197394795,0.5075687996447448,0,2,0,1,731,0,1,0
26,U0391,40.0,card-not-present,MiniMart,DV0277,virtual,KE,2025-01-01 21:07:38,2025-01-01 21:00:26,-1.376728064264174,37.41446848258894,7.141464808776526,3.5861026378007743,432,3873.657127651909,538.0079343960984,0,8,0,1,1897,0,0,0
27,U0251,202.84,airtime,DesignerHub,DV0058,debit,ZA,2025-01-01 22:05:18,2025-01-01 21:07:38,-20.931652607327358,29.88606170400808,-1.376728064264174,37.41446848258894,3460,2312.7148288948574,40.104881425922386,0,8,0,1,1909,0,0,0
28,U0030,197.41,card-present,Airtel,DV0041,virtual,KE,2025-01-01 22:17:35,2025-01-01 22:05:18,-0.5044767715037994,36.98920167873416,-20.931652607327358,29.88606170400808,737,2388.1000178179515,194.4179118983407,0,4,0,1,400,0,0,0
29,U0390,238.36,card-not-present,ElectroWorld,DV0066,prepaid,KE,2025-01-01 22:37:11,2025-01-01 22:17:35,-0.6084209562741514,37.38961814279455,-0.5044767715037994,36.98920167873416,1176,46.030107427247955,2.3484748687371404,0,1,0,3,1037,0,0,0
30,U0136,56.83,airtime,LuxuryHub,DV0109,credit,UK,2025-01-01 23:31:27,2025-01-01 22:37:11,52.00624222715649,-0.41865121935810024,-0.6084209562741514,37.38961814279455,3256,6819.617283333602,125.66862315725311,0,0,0,2,1685,2,0,0
31,U0344,106.93,online,DesignerHub,DV0225,prepaid,NG,2025-01-02 00:50:55,2025-01-01 23:31:27,6.624222009246976,4.106354385094736,52.00624222715649,-0.41865121935810024,4768,5048.688859798431,63.53215847061784,0,8,1,2,391,0,1,0
32,U0116,83.44,card-not-present,Clicks,DV0174,virtual,ZA,2025-01-02 01:22:07,2025-01-02 00:50:55,-19.37827451525458,22.498446954284447,6.624222009246976,4.106354385094736,1872,3512.5385043111805,112.58136231766605,0,4,1,1,1687,1,0,0
33,U0118,55.94,online,DesignerHub,DV0004,virtual,KE,2025-01-02 02:08:50,2025-01-02 01:22:07,-0.9454589352322267,37.227558080084066,-19.37827451525458,22.498446954284447,2803,2595.7147033488473,55.56292622223719,0,4,1,1,1376,0,0,0
34,U0035,211.15,card-not-present,DesignerHub,DV0170,virtual,ZA,2025-01-02 02:50:58,2025-01-02 02:08:50,-25.11731616010128,20.752736948459397,-0.9454589352322267,37.227558080084066,2528,3207.8487235937137,76.13565008529383,0,2,1,2,1622,0,0,0
35,U0143,712.64,card-not-present,Takealot,DV0110,credit,UK,2025-01-02 03:27:51,2025-01-02 02:50:58,51.71125511658536,0.27760228373522555,-25.11731616010128,20.752736948459397,2213,8742.856168950191,237.04083603118457,0,9,1,1,1882,0,0,0
36,U0243,886.23,in-store,Airtel,DV0243,prepaid,KE,2025-01-02 03:55:59,2025-01-02 03:27:51,-1.3631781323640086,36.733852118800634,51.71125511658536,0.27760228373522555,1688,6807.135212864493,241.95978244779005,0,4,1,2,87,0,0,0
37,U0050,3376.6541407468617,card-present,Walmart,DV0182,prepaid,UK,2025-01-02 04:22:33,2025-01-02 03:55:59,51.91812824045789,-0.1418372819671595,-1.3631781323640086,36.733852118800634,1594,6843.6874005406235,257.60429362135346,0,18,1,1,272,0,0,1
38,U0443,82.92,card-present,QuickBuy,DV0051,virtual,ZA,2025-01-02 04:58:15,2025-01-02 04:22:33,-19.32026234560177,19.06089868038776,51.91812824045789,-0.1418372819671595,2142,8109.546384615035,227.15816203403458,0,1,1,1,102,0,0,0
39,U0174,460.93,in-store,Clicks,DV0128,credit,ZA,2025-01-02 05:34:03,2025-01-02 04:58:15,-23.451843914577744,19.092025092615962,-19.32026234560177,19.06089868038776,2148,457.47016258805127,12.778496161677412,0,0,1,1,1536,0,0,0
40,U0230,192.43,airtime,Walmart,DV0217,credit,KE,2025-01-02 06:31:48,2025-01-02 05:34:03,-1.0525865917745856,36.809130791078516,-23.451843914577744,19.092025092615962,3465,3130.77356886388,54.212529330976274,0,7,0,1,1892,0,0,0
41,U0128,77.66,online,GameStore,DV0227,virtual,ZA,2025-01-02 06:40:51,2025-01-02 06:31:48,-22.32442261478973,20.067838454419558,-1.0525865917745856,36.809130791078516,543,2970.7758808840235,328.2625282744777,0,9,0,1,1101,0,0,0
42,U0277,699.08,in-store,LuxuryHub,DV0048,credit,ZA,2025-01-02 07:02:27,2025-01-02 06:40:51,-24.18854605943707,26.253416605152996,-22.32442261478973,20.067838454419558,1296,665.6869134138474,30.818838583974415,0,5,0,1,32,0,0,0
43,U0249,132.97,online,ElectroWorld,DV0110,prepaid,UK,2025-01-02 07:58:32,2025-01-02 07:02:27,51.811677442115666,0.032113485265315656,-24.18854605943707,26.253416605152996,3365,8799.63912188869,156.90292639326043,0,8,0,2,32,0,0,0
44,U0195,142.97,card-present,ShoeWorld,DV0200,debit,ZA,2025-01-02 08:34:48,2025-01-02 07:58:32,-25.779208344168218,20.537376083958534,51.811677442115666,0.032113485265315656,2176,8825.603415403464,243.35303535119846,0,1,0,1,1964,0,0,0
45,U0217,31.13,airtime,DesignerHub,DV0080,credit,UK,2025-01-02 08:57:00,2025-01-02 08:34:48,52.28651524879297,0.10577481935688715,-25.779208344168218,20.537376083958534,1332,8874.019106791435,399.7305903960106,0,6,0,1,1378,0,0,0
46,U0496,536.36,airtime,Supermart,DV0278,virtual,ZA,2025-01-02 09:05:07,2025-01-02 08:57:00,-26.149048313061527,20.08048314353706,52.28651524879297,0.10577481935688715,487,8904.172182143986,1097.0232667939201,1,5,0,1,508,0,0,0
47,U0026,164.27,online,Clicks,DV0258,credit,UK,2025-01-02 09:17:30,2025-01-02 09:05:07,52.26799406650423,0.21095247883674828,-26.149048313061527,20.08048314353706,743,8899.978463520247,718.706201630168,0,0,0,1,324,0,0,0
48,U0042,202.07,in-store,LuxuryHub,DV0036,virtual,KE,2025-01-02 09:52:10,2025-01-02 09:17:30,-1.0793578078404855,37.1938830975579,52.26799406650423,0.21095247883674828,2080,6848.651618851837,197.5572582361107,0,4,0,1,781,0,0,0
49,U0062,81.52,card-present,GameStore,DV0021,virtual,KE,2025-01-02 10:36:25,2025-01-02 09:52:10,-1.0511317334570047,37.529529144247824,-1.0793578078404855,37.1938830975579,2655,37.48768352622449,0.847179288728237,0,5,0,1,1377,0,0,0
50,U0299,123.75,airtime,DesignerHub,DV0134,credit,NG,2025-01-02 10:54:30,2025-01-02 10:36:25,7.014574720231383,3.8651972206962,-1.0511317334570047,37.529529144247824,1085,3844.089674231976,212.57638751513232,0,7,0,1,1719,0,1,0
51,U0136,33.65,card-present,MiniMart,DV0068,debit,UK,2025-01-02 11:46:40,2025-01-02 10:54:30,51.366619112390815,-0.27097460907520365,7.014574720231383,3.8651972206962,3130,4931.9937381777645,94.5430109554843,0,2,0,1,1476,0,0,0
52,U0476,36.12,card-not-present,Takealot,DV0005,prepaid,ZA,2025-01-02 12:25:56,2025-01-02 11:46:40,-20.213708846265618,23.94508351684759,51.366619112390815,-0.27097460907520365,2356,8274.531204578492,210.7266011352757,0,4,0,2,869,0,0,0
53,U0052,230.96,card-not-present,ShoeWorld,DV0276,credit,ZA,2025-01-02 13:28:52,2025-01-02 12:25:56,-23.63518648515405,22.545858786682988,-20.213708846265618,23.94508351684759,3776,405.4910171691852,6.443183535527308,0,3,0,1,1839,0,0,0
54,U0068,57.94,airtime,ShoeWorld,DV0036,credit,NG,2025-01-02 14:19:17,2025-01-02 13:28:52,6.623596862420483,3.4879296164757263,-23.63518648515405,22.545858786682988,3025,3936.6446668120834,78.08220826734711,1,3,0,3,1161,1,1,0
55,U0081,75.36,card-not-present,EasyPay,DV0279,debit,UK,2025-01-02 15:07:18,2025-01-02 14:19:17,52.225568512906776,-0.049160628595867895,6.623596862420483,3.4879296164757263,2881,5066.407343483969,105.51351635162727,0,5,0,2,1029,0,0,0
56,U0335,115.29,in-store,ShoeWorld,DV0154,virtual,ZA,2025-01-02 15:17:12,2025-01-02 15:07:18,-23.811619428739277,25.09530522893915,52.225568512906776,-0.049160628595867895,594,8771.705248652359,886.0308331972079,0,1,0,1,479,0,0,0
57,U0060,161.34,airtime,Takealot,SPOOF9146,debit,ZA,2025-01-02 16:30:32,2025-01-02 15:17:12,-24.477820591101928,20.695257875279783,-23.811619428739277,25.09530522893915,4400,453.2350007947131,6.18047728356427,1,1,0,1,971,1,0,1
58,U0108,383.5,card-not-present,Walmart,DV0105,debit,NG,2025-01-02 16:46:43,2025-01-02 16:30:32,6.499595911766477,3.509936926268611,-24.477820591101928,20.695257875279783,971,3901.3426741925023,241.07163795216286,0,0,0,1,290,0,1,0
59,U0129,344.84,airtime,Supermart,DV0048,prepaid,ZA,2025-01-02 17:42:38,2025-01-02 16:46:43,-23.125463957659257,21.528536150651657,6.499595911766477,3.509936926268611,3355,3819.0613058276945,68.29915897158321,0,9,0,1,1906,0,0,0
60,U0002,72.49,in-store,QuickBuy,DV0067,debit,NG,2025-01-02 17:48:25,2025-01-02 17:42:38,6.607984495364845,3.75172259525934,-23.125463957659257,21.528536150651657,347,3816.0037215626257,659.8277328350362,0,2,0,1,1011,0,1,0
61,U0227,355.99,online,QuickBuy,DV0005,virtual,UK,2025-01-02 18:02:27,2025-01-02 17:48:25,51.44108184877771,-0.09360769172647798,6.607984495364845,3.75172259525934,842,4983.120787336148,355.09174256552126,0,0,0,1,151,0,0,0
62,U0463,60.81,card-not-present,Clicks,DV0019,debit,KE,2025-01-02 18:55:57,2025-01-02 18:02:27,-0.6960538648614905,37.51062400354031,51.44108184877771,-0.09360769172647798,3210,6773.534912129134,126.6081291986754,0,8,0,1,944,0,0,0
63,U0076,95.94,airtime,MiniMart,DV0066,virtual,UK,2025-01-02 19:50:57,2025-01-02 18:55:57,51.48210713882158,-0.015221632849653832,-0.6960538648614905,37.51062400354031,3300,6772.996883230643,123.14539787692078,0,8,0,1,1786,0,0,0
64,U0461,74.04,in-store,GameStore,DV0184,credit,ZA,2025-01-02 19:51:57,2025-01-02 19:50:57,-24.782960654467182,19.587314533503964,51.48210713882158,-0.015221632849653832,60,8663.306238850242,8663.306238850242,0,5,0,2,1627,0,0,0
65,U0053,118.39,in-store,ElectroWorld,DV0209,credit,NG,2025-01-02 20:50:09,2025-01-02 19:51:57,6.450730660561598,3.833098063357448,-24.782960654467182,19.587314533503964,3492,3854.4336928374955,66.22738303844494,0,1,0,1,1391,0,1,0
66,U0500,152.95,in-store,QuickBuy,DV0212,virtual,KE,2025-01-02 21:12:42,2025-01-02 20:50:09,-1.3317502946459083,37.43707899070303,6.450730660561598,3.833098063357448,1353,3831.9534953364664,169.93141886192754,0,5,0,2,1317,0,0,0
67,U0474,37.72,airtime,ElectroWorld,DV0211,credit,NG,2025-01-02 21:48:22,2025-01-02 21:12:42,7.1552363127234795,3.3546721408832365,-1.3317502946459083,37.43707899070303,2140,3900.1257785598946,109.34932089420266,0,7,0,1,1067,0,1,0
68,U0404,233.95,card-present,DesignerHub,DV0196,virtual,ZA,2025-01-02 21:54:11,2025-01-02 21:48:22,-28.22234655921043,18.02807268750934,7.1552363127234795,3.3546721408832365,349,4220.180837254943,725.5325221641737,0,7,0,2,665,0,0,0
69,U0103,199.41,in-store,DesignerHub,DV0180,debit,UK,2025-01-02 22:50:30,2025-01-02 21:54:11,51.35159580665871,0.1699174645500392,-28.22234655921043,18.02807268750934,3379,8986.837209949748,159.57686670523375,0,9,0,1,254,0,0,0
70,U0013,108.65,airtime,Airtel,DV0205,debit,KE,2025-01-02 23:41:32,2025-01-02 22:50:30,-1.2074009722143695,36.71528202124728,51.35159580665871,0.1699174645500392,3062,6766.42578381737,132.5883563125546,0,7,0,1,192,0,0,0
71,U0496,164.15,card-not-present,MiniMart,DV0180,prepaid,NG,2025-01-03 00:28:01,2025-01-02 23:41:32,6.772427759433466,4.003976979400898,-1.2074009722143695,36.71528202124728,2789,3739.656224093587,80.45155017770355,0,1,1,1,1198,1,1,0
72,U0481,201.13,in-store,Takealot,DV0060,debit,ZA,2025-01-03 01:49:04,2025-01-03 00:28:01,-27.145270904232774,22.607566679036708,6.772427759433466,4.003976979400898,4863,4254.731625895994,52.49514652555205,0,9,1,1,1387,0,0,0
73,U0493,50.39,card-not-present,LuxuryHub,DV0020,virtual,NG,2025-01-03 02:33:16,2025-01-03 01:49:04,7.052821821691902,3.9155533152342423,-27.145270904232774,22.607566679036708,2652,2634.150713602915,157.48273141963247,0,9,1,2,943,0,1,1
74,U0177,321.36,card-present,Takealot,DV0224,virtual,NG,2025-01-03 02:48:20,2025-01-03 02:33:16,7.189184909813359,3.9433528228936243,7.052821821691902,3.9155533152342423,904,15.390071836640148,1.0214649449097444,0,1,1,1,941,0,1,0
75,U0098,238.97,online,Clicks,DV0023,prepaid,NG,2025-01-03 03:29:46,2025-01-03 02:48:20,7.083785884963426,4.127752283195213,7.189184909813359,3.9433528228936243,2486,23.46859963316898,0.5664183338657035,0,2,1,1,1148,0,1,0
76,U0474,29.41,online,GameStore,DV0187,prepaid,KE,2025-01-03 03:52:41,2025-01-03 03:29:46,-0.5398731835820761,37.057432097773706,7.083785884963426,4.127752283195213,1375,3752.796811695615,163.75840632853593,0,4,1,2,1254,0,0,0
77,U0472,63.52,airtime,Clicks,DV0161,virtual,NG,2025-01-03 05:11:09,2025-01-03 03:52:41,6.281046215907648,3.4201832019498113,-0.5398731835820761,37.057432097773706,4708,3812.7967070117243,48.59129193302962,0,2,1,2,1596,0,1,0
78,U0159,91.91,airtime,Clicks,DV0168,prepaid,UK,2025-01-03 05:17:31,2025-01-03 05:11:09,51.457340659702524,-0.3395998946699279,6.281046215907648,3.4201832019498113,382,5020.459936032984,788.5539166543954,0,5,1,1,137,0,0,0
79,U0066,154.23,in-store,Takealot,DV0216,prepaid,KE,2025-01-03 05:27:39,2025-01-03 05:17:31,-0.5741832494352372,36.72886986747345,51.457340659702524,-0.3395998946699279,608,6736.779111544314,664.8137281129258,0,0,1,1,364,0,0,0
80,U0292,75.68,airtime,ShoeWorld,DV0208,virtual,NG,2025-01-03 05:37:30,2025-01-03 05:27:39,6.961027902502028,3.7412665786761106,-0.5741832494352372,36.72886986747345,591,3757.2281391794895,381.44448113497356,0,3,1,1,488,0,1,0
81,U0108,190.08,card-present,Walmart,DV0165,prepaid,UK,2025-01-03 06:57:49,2025-01-03 05:37:30,51.34574203381251,0.3715368061523763,6.961027902502028,3.7412665786761106,4819,4930.624266043578,61.38980202585904,0,2,0,1,464,0,0,0
82,U0346,150.31,in-store,GameStore,DV0262,prepaid,KE,2025-01-03 06:58:47,2025-01-03 06:57:49,-0.9113568095953342,37.3704074178078,51.34574203381251,0.3715368061523763,58,6758.079451625113,6991.116674094944,0,3,0,2,1715,0,0,0
83,U0044,60.08,online,EasyPay,DV0264,debit,NG,2025-01-03 07:27:09,2025-01-03 06:58:47,6.632334801042602,4.1436159201675995,-0.9113568095953342,37.3704074178078,1702,3784.468751918838,133.4125294448474,0,9,0,2,1555,0,1,0
84,U0121,248.82,in-store,Supermart,DV0116,credit,NG,2025-01-03 08:28:45,2025-01-03 07:27:09,6.6715324601025126,3.743232805789958,6.632334801042602,4.1436159201675995,3696,44.48410240522619,0.7221445195653602,0,1,0,2,391,0,1,0
85,U0024,131.4,card-present,LuxuryHub,DV0244,virtual,KE,2025-01-03 09:00:20,2025-01-03 08:28:45,-0.4324887363862222,36.78545887467666,6.6715324601025126,3.743232805789958,1895,3753.4257301779917,118.84197562568839,0,5,0,1,121,0,0,0
86,U0454,342.05,card-present,DesignerHub,DV0197,prepaid,KE,2025-01-03 09:12:48,2025-01-03 09:00:20,-1.2504193573324343,37.06459859663581,-0.4324887363862222,36.78545887467666,748,95.63033161140457,7.6708822148185485,0,5,0,2,1581,0,0,0
87,U0076,164.61,in-store,ElectroWorld,DV0055,prepaid,ZA,2025-01-03 09:13:09,2025-01-03 09:12:48,-19.133374067328536,19.70994651481816,-1.2504193573324343,37.06459859663581,21,2737.9356747840943,7822.673356525985,0,0,0,2,1694,0,0,0
88,U0412,19.81,online,Walmart,DV0026,credit,UK,2025-01-03 09:24:03,2025-01-03 09:13:09,51.404567840334394,0.1364302495436367,-19.133374067328536,19.70994651481816,654,8043.839293705045,737.9669076793618,0,8,0,2,1292,1,0,0
89,U0069,49.87,card-present,Takealot,DV0272,debit,UK,2025-01-03 10:46:07,2025-01-03 09:24:03,52.08383255341886,-0.019096168551015147,51.404567840334394,0.1364302495436367,4924,76.33621412216034,0.9301732021384282,1,5,0,1,1552,0,0,0
90,U0418,31.16,card-present,Walmart,DV0229,credit,UK,2025-01-03 11:47:32,2025-01-03 10:46:07,51.958707775500876,-0.0018042835468610186,52.08383255341886,-0.019096168551015147,3685,4556.905504320477,102.02133014869412,0,7,0,3,1671,0,0,1
91,U0133,96.14,in-store,ShoeWorld,DV0142,prepaid,KE,2025-01-03 12:22:23,2025-01-03 11:47:32,-0.9816002113323472,36.80357828034224,51.958707775500876,-0.0018042835468610186,2091,6805.434121813206,195.27788010941765,0,3,0,1,1590,0,0,0
92,U0226,71.08,airtime,MiniMart,DV0147,credit,ZA,2025-01-03 12:45:57,2025-01-03 12:22:23,-23.213245914276065,23.263385030275085,-0.9816002113323472,36.80357828034224,1414,2861.992239354438,121.44238639410628,0,1,0,1,915,0,0,0
93,U0164,98.6,in-store,LuxuryHub,DV0071,credit,ZA,2025-01-03 14:03:45,2025-01-03 12:45:57,-21.239997929645703,22.86372219702892,-23.213245914276065,23.263385030275085,4668,222.3550029001734,2.8580334563004293,0,6,0,1,134,0,0,0
94,U0356,59.12,card-present,LuxuryHub,DV0110,virtual,KE,2025-01-03 15:00:19,2025-01-03 14:03:45,-1.000954053862889,37.457986253922705,-21.239997929645703,22.86372219702892,3394,2743.1467514285373,48.49404981900773,1,9,0,1,848,0,0,0
95,U0170,281.34,in-store,LuxuryHub,DV0213,virtual,UK,2025-01-03 15:37:31,2025-01-03 15:00:19,51.33667142693354,0.23640201506564051,-1.000954053862889,37.457986253922705,2232,6777.012364892271,182.17775174441587,0,5,0,1,961,0,0,0
96,U0200,152.8,online,MiniMart,DV0195,prepaid,ZA,2025-01-03 15:54:39,2025-01-03 15:37:31,-19.133070196428385,19.475649702355522,51.33667142693354,0.23640201506564051,1028,8028.988527982655,468.61800746980475,0,4,0,1,1279,0,0,0
97,U0153,233.95,card-present,DesignerHub,SPOOF9799,credit,UK,2025-01-03 17:08:22,2025-01-03 15:54:39,51.9668642575461,-0.3603487452436871,-19.133070196428385,19.475649702355522,4423,8108.836519002387,110.00004321504481,1,7,0,3,133,0,0,1
98,U0140,161.29,card-present,MiniMart,DV0249,virtual,UK,2025-01-03 18:16:11,2025-01-03 17:08:22,51.674296767139786,-0.48248400913793776,51.9668642575461,-0.3603487452436871,4069,33.62390897680001,0.4958059814716148,0,0,0,1,1868,0,0,0
99,U0343,25.41,in-store,Takealot,DV0085,prepaid,UK,2025-01-03 18:28:14,2025-01-03 18:16:11,51.64857366724197,-0.34071255475719486,51.674296767139786,-0.48248400913793776,723,10.21881956483974,0.8480348186588995,0,8,0,2,589,0,0,0
100,U0274,314.77,online,GameStore,DV0202,virtual,ZA,2025-01-03 18:42:44,2025-01-03 18:28:14,-26.11314404469362,19.309315581188997,51.64857366724197,-0.34071255475719486,870,8825.883634135844,608.681629940403,0,5,0,1,729,0,0,0
101,U0220,193.74,online,ShoeWorld,DV0237,credit,KE,2025-01-03 19:38:42,2025-01-03 18:42:44,-0.7045327933101377,36.98855810127035,-26.11314404469362,19.309315581188997,3358,3390.938692643491,60.58854126224224,0,1,0,1,1031,0,0,0
102,U0195,107.22,airtime,MiniMart,DV0109,prepaid,NG,2025-01-03 20:26:12,2025-01-03 19:38:42,6.308918341846732,3.348991855970195,-0.7045327933101377,36.98855810127035,2850,3817.414785602517,80.36662706531615,0,1,0,2,431,0,1,0
103,U0390,11423.378217393692,airtime,Airtel,DV0143,prepaid,UK,2025-01-03 21:42:37,2025-01-03 20:26:12,51.36026739028956,0.4344360268055143,6.308918341846732,3.348991855970195,4585,5001.805735601153,65.45438258147637,0,14,0,1,1567,1,0,1
104,U0241,52.03,airtime,DesignerHub,DV0277,virtual,ZA,2025-01-03 22:35:56,2025-01-03 21:42:37,-23.19067946737202,19.075516069859304,51.36026739028956,0.4344360268055143,3199,8457.409273540445,158.62599450216524,0,7,0,2,449,0,0,0
105,U0333,341.39,in-store,DesignerHub,DV0021,virtual,ZA,2025-01-03 22:57:56,2025-01-03 22:35:56,-19.3707312476242,23.802547760639097,-23.19067946737202,19.075516069859304,1320,647.5908930413649,29.435949683698404,0,9,0,1,1661,0,0,0
106,U0430,237.29,in-store,Walmart,DV0079,credit,ZA,2025-01-03 23:00:41,2025-01-03 22:57:56,-19.99976876601989,22.241056551632617,-19.3707312476242,23.802547760639097,165,177.91918204011267,64.6978843782228,0,1,0,1,1589,0,0,0
